,title,id,metal,mass,diameter,era,year,inscriptions,jpg,txt
36,Antinous,_smyrna_Klose_19,Copper,34.85,,AD,117.0,,_smyrna_Klose_19.jpg,_smyrna_Klose_19.txt
37,Antinous,_smyrna_Klose_28corr,Copper,29.64,,AD,117.0,,_smyrna_Klose_28corr.jpg,_smyrna_Klose_28corr.txt
38,Antinous,_smyrna_Klose_38,Copper,46.55,,AD,134.0,,_smyrna_Klose_38.jpg,_smyrna_Klose_38.txt
42,Antinous,_tarsos_Blum_52,Copper,33.26,,AD,133.0,,_tarsos_Blum_52.jpg,_tarsos_Blum_52.txt
45,Antinous,_tium_RecGen_34,Copper,39.13,,,,,_tium_RecGen_34.jpg,_tium_RecGen_34.txt
2,Antonia,RIC_0065_2,Gold,7.8,19.8,AD,4.0,,RIC_0065_2.jpg,RIC_0065_2.txt
8,Antonia,Incitatus_393092,Brass,10.9,28.5,AD,42.0,['SC'],Incitatus_393092.jpg,Incitatus_393092.txt
3,Antoninus Pius,Gnecchi_57,Copper,46.55,38.0,AD,0.0,"['AVG', 'IMP', 'CAES', 'COS', 'PM']",Gnecchi_57.jpg,Gnecchi_57.txt
4,Antoninus Pius,Gnecchi_105,Copper,55.85,44.0,,,"['AVG', 'COS', 'PP', 'TR']",Gnecchi_105.jpg,Gnecchi_105.txt
14,Antoninus Pius,RIC_0454[hadrian],Gold,7.27,20.0,AD,138.0,"['IMP', 'CAES', 'COS', 'TRIB POT']",RIC_0454[hadrian].jpg,RIC_0454[hadrian].txt
15,Antoninus Pius,RIC_0455[hadrian],Silver,3.36,18.0,AD,138.0,"['IMP', 'CAES', 'COS', 'TRIB POT']",RIC_0455[hadrian].jpg,RIC_0455[hadrian].txt
59,Antoninus Pius,BMCRE_0094_RIC_45_var,Silver,2.41,18.0,,,"['AVG', 'COS']",BMCRE_0094_RIC_45_var.jpg,BMCRE_0094_RIC_45_var.txt
72,Antoninus Pius,RIC_0057var,Silver,3.3,16.0,AD,139.0,"['AVG', 'COS', 'TR']",RIC_0057var.jpg,RIC_0057var.txt
74,Antoninus Pius,RIC_0058_limes,Copper,1.8,18.0,,,"['AVG', 'COS', 'TR']",RIC_0058_limes.jpg,RIC_0058_limes.txt
105,Antoninus Pius,RIC_0105a,Gold,7.13,19.0,AD,140.0,"['AVG', 'COS', 'PP', 'TR']",RIC_0105a.jpg,RIC_0105a.txt
111,Antoninus Pius,RIC_0112,Silver,3.09,18.0,AD,143.0,"['AVG', 'COS', 'TR']",RIC_0112.jpg,RIC_0112.txt
121,Antoninus Pius,RIC_0127f,Silver,3.24,19.0,,,"['AVG', 'COS']",RIC_0127f.jpg,RIC_0127f.txt
122,Antoninus Pius,RIC_0127-0137ADD,Silver,2.94,,AD,137.0,"['AVG', 'COS']",RIC_0127-0137ADD.jpg,RIC_0127-0137ADD.txt
